Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production,Cov_PDO_Summer,Cov_SOI_Summer,Cov_UWI_Summer,Cov_NPGO_Summer,Cov_SST_Summer,Cov_PDO_Winter,Cov_SOI_Winter,Cov_UWI_Winter,Cov_NPGO_Winter,Cov_SST_Winter,Cov_PDO_Summer_BY1,Cov_SOI_Summer_BY1,Cov_UWI_Summer_BY1,Cov_NPGO_Summer_BY1,Cov_SST_Summer_BY1,Cov_PDO_Winter_BY1,Cov_SOI_Winter_BY1,Cov_UWI_Winter_BY1,Cov_NPGO_Winter_BY1,Cov_SST_Winter_BY1
,,,,2021,2018,3,NA,NA,388.2377622,NA,NA,NA,1.0331,-0.7,66.5,-9.881078,10.99,1.4753,2,-228.75,-8.4459167,8.055,5.1507,-2.6,54.75,-10.9430404,10.802,1.3096,-0.7,-176.75,-6.50556754,8.585
,,,,2006,2002,4,NA,NA,2429.233161,NA,NA,NA,2.2313,-3.1,13,5.72651544,10.884,2.4016,0.5,-238.75,7.9592735,8.0425,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667
,,,,2007,2003,4,NA,NA,584.3555929,NA,NA,NA,1.9313,-0.6,-15.5,4.55090436,11.046,5.4517,-2.3,-477.5,7.08900738,8.716666667,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475
,,,,2008,2004,4,NA,NA,3122.731562,NA,NA,NA,3.2664,-0.9,27.25,2.45718201,11.34,0.89,1.4,-418,1.53955369,8.1475,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175
,,,,2009,2005,4,NA,NA,831.4352077,NA,NA,NA,4.3257,-0.1,31.5,-6.43945874,11.458,2.2516,-3.3,-164.75,-5.62519685,8.3175,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775
,,,,2010,2006,4,NA,NA,548.1585688,NA,NA,NA,2.2913,-2.9,43.75,-1.4546564,11.236,1.6322,3.6,-304.5,-3.67790458,8.4775,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025
,,,,2011,2007,4,NA,NA,461.4761905,NA,NA,NA,2.2939,0.7,3,5.50229302,10.828,0.63,-1,-376,-1.25426905,8.0025,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625
,,,,2012,2008,4,NA,NA,1406.857143,NA,NA,NA,5.1383,3,-1,8.8149968,10.486,2.969,7.5,-250.5,3.52284835,7.625,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455
,,,,2013,2009,4,NA,NA,1252.462312,NA,NA,NA,1.804,0.3,10,3.18652257,10.982,4.8855,4.8,-145.75,2.40979483,7.455,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667
,,,,2014,2010,4,NA,NA,446.58,NA,NA,NA,5.2889,7.1,45.75,6.3314344,10.796,1.6045,-4,-640.75,6.6210267,8.636666667,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725
,,,,2015,2011,4,NA,NA,771.2723214,NA,NA,NA,7.6991,3,-57.25,5.9075042,10.14333333,4.7886,10.4,-241,2.85311692,7.7725,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07
,,,,2016,2012,4,NA,NA,1199.676923,NA,NA,NA,8.8671,-0.4,-30.5,8.5152471,10.072,5.2144,4.8,-252.5,2.94386197,7.07,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8
,,,,2017,2013,4,NA,NA,2059.570815,NA,NA,NA,2.1348,3.3,12,2.97970787,10.242,3.4386,0.6,-179.25,4.27592239,7.8,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615
,,,,2018,2014,4,NA,NA,1217.228155,NA,NA,NA,6.0974,-0.9,7.25,-1.64368748,10.674,1.723,0.7,-182.25,-2.56379114,7.615,8.4399,-5.4,66.5,-7.47373975,11.31,8.1104,-1.9,-278.25,-3.57271246,8.935
